t (s);sp (cm)
30,18625369;10
30,2467926;10
30,3140622;10
30,3896164;10
30,47553274;10
30,57472346;10
30,69140749;10
30,83196224;10
31;10
31,03796999;10
31,07593998;10
31,12239175;10
31,17218815;10
31,22669566;10
31,28670017;10
31,35334426;10
31,42812068;10
31,51305517;10
31,61097355;10
31,72595737;10
31,86415217;10
32;10
32,04187845;10
32,0837569;10
32,13520582;10
32,19074887;10
32,2521243;10
32,3204159;10
32,39723642;10
32,48475676;10
32,58603229;10
32,70551291;10
32,84996779;10
33;10
33,03563232;10
33,07126464;10
33,11504389;10
33,16176721;10
33,21265309;10
33,26834943;10
33,32979221;10
33,39818408;10
33,47512596;10
33,56280087;10
33,66427761;10
33,78402885;10
33,92886235;10
34;10
34,04342756;10
34,08685512;10
34,1411707;10
34,19993384;10
34,26522459;10
34,33830625;10
34,42111101;10
34,51627926;10
34,62760523;10
34,76075158;10
34,92458685;10
35;10
35,03600612;10
35,07201224;10
35,11791511;10
35,16687711;10
35,22042382;10
35,27927763;10
35,34452701;10
35,41758271;10
35,50035025;10
35,59547153;10
35,706735;10
35,8397955;10
36;10
36,04134508;10
36,08269015;10
36,13297578;10
36,18723028;10
36,24704783;10
36,31344734;10
36,38792451;10
36,47248093;10
36,56991034;10
36,68424204;10
36,82153394;10
37;10
37,0427928;10
37,08558561;10
37,13796294;10
37,19461172;10
37,25731735;10
37,32723243;10
37,40607259;10
37,49616146;10
37,60079218;10
37,72480115;10
37,87561927;10
38;10
38,03724337;10
38,07448673;10
38,12087762;10
38,17051134;10
38,2248383;10
38,28462534;10
38,35100567;10
38,42545615;10
38,50997948;10
38,60736598;10
38,72164051;10
38,85885332;10
39;10
39,03960153;10
39,07920307;10
39,12762635;10
39,1796934;10
39,23689919;10
39,30014142;10
39,37073468;10
39,45041719;10
39,54158189;10
39,64762387;10
39,77354775;10
39,92707436;10
40;10
40,03802641;10
40,07605282;10
40,12391202;10
40,17517102;10
40,23143562;10
40,29354275;10
40,36274807;10
40,4407005;10
40,5296595;10
40,63281163;10
40,75482084;10
40,90282163;10
41;10
41,04687387;10
41,09374775;10
41,15274987;10
41,21696858;10
41,28895374;10
41,37034225;10
41,46369839;10
41,57262479;10
41,70248141;10
41,861603;10
42;10
42,03685166;10
42,07370332;10
42,12008631;10
42,16965823;10
42,22391887;10
42,28362573;10
42,34990889;10
42,42423936;10
42,50861137;10
42,60580227;10
42,71981618;10
42,85666852;10
43;10
43,04187164;10
43,08374329;10
43,13505075;10
43,19044589;10
43,25164083;10
43,31971301;10
43,39626117;10
43,48343612;10
43,58426206;10
43,70313845;10
43,84674876;10
44;10
44,04231172;10
44,08462345;10
44,13696265;10
44,19349682;10
44,25607434;10
44,32583123;10
44,40447452;10
