t (s);y (cm)
349;9,999959253
350;9,999959253
351;9,999959253
352;9,999959253
353;10,01203417
354;9,999959253
355;10,01203417
356;9,999959253
357;10,01203417
358;10,01203417
359;9,999959253
360;10,01203417
361;10,02409667
362;10,02409667
363;10,01203417
364;10,01203417
365;10,01203417
366;10,02409667
367;10,02409667
368;10,02409667
369;10,01203417
370;10,01203417
371;10,01203417
372;10,01203417
373;10,01203417
374;10,02409667
375;10,01203417
376;9,999959253
377;9,999959253
378;10,01203417
379;10,02409667
380;10,01203417
381;9,999959253
382;9,999959253
383;9,999959253
384;10,01203417
385;10,01203417
386;10,01203417
387;10,01203417
388;10,01203417
389;10,01203417
390;10,01203417
391;10,01203417
392;10,01203417
393;10,01203417
394;10,01203417
395;9,999959253
396;9,999959253
397;10,01203417
398;9,999959253
399;9,999959253
400;9,999959253
401;9,999959253
402;9,999959253
403;10,01203417
404;9,999959253
405;9,987871875
406;9,999959253
407;9,999959253
408;9,999959253
409;9,987871875
410;9,987871875
411;9,999959253
412;9,987871875
413;9,999959253
414;9,999959253
415;9,999959253
416;9,987871875
417;9,999959253
418;9,987871875
419;9,987871875
420;9,999959253
421;9,999959253
422;9,987871875
423;9,987871875
424;9,975771987
425;9,987871875
426;9,987871875
427;9,999959253
428;9,999959253
429;9,999959253
430;9,987871875
431;9,975771987
432;9,987871875
433;9,999959253
434;9,999959253
435;9,999959253
436;9,999959253
437;9,987871875
438;9,987871875
439;9,987871875
440;10,01203417
441;10,02409667
442;10,01203417
443;9,987871875
444;9,987871875
445;9,999959253
446;10,01203417
447;9,999959253
448;9,999959253
449;9,999959253
450;9,999959253
451;9,999959253
452;9,999959253
453;9,999959253
454;9,999959253
455;9,999959253
456;9,999959253
457;9,987871875
458;9,999959253
459;9,999959253
460;9,987871875
461;9,987871875
462;9,999959253
463;9,999959253
464;9,999959253
465;9,987871875
466;9,987871875
467;9,999959253
468;9,999959253
469;9,999959253
470;9,999959253
471;9,999959253
472;9,999959253
473;9,987871875
474;9,987871875
475;9,999959253
476;9,999959253
477;9,987871875
478;9,999959253
479;9,999959253
480;9,999959253
481;10,01203417
482;9,999959253
483;9,999959253
484;9,999959253
485;9,999959253
486;10,01203417
487;9,999959253
488;9,999959253
489;9,999959253
490;9,999959253
491;9,999959253
492;10,01203417
493;10,01203417
494;10,01203417
495;10,01203417
496;10,01203417
497;10,01203417
498;10,01203417
499;10,01203417
500;10,01203417
501;10,01203417
502;9,999959253
503;9,999959253
504;9,999959253
505;9,999959253
506;9,999959253
507;10,01203417
508;10,01203417
509;9,999959253
510;9,999959253
511;9,999959253
512;9,999959253
513;9,999959253
514;9,999959253
515;9,999959253
516;9,987871875
517;9,987871875
518;9,999959253
519;9,999959253
520;9,999959253
521;10,08422455
522;10,14404904
523;10,29821484
524;10,35699556
525;10,50854613
526;10,57789063
527;10,68122405
528;10,82909829
529;10,89682071
530;11,00898764
531;11,05361682
532;11,18672873
533;11,285836
534;11,34064065
535;11,49318301
536;11,54735496
537;11,65524733
538;11,71970951
539;11,85873035
540;11,91198094
541;11,97573342
542;12,10279204
543;12,14502365
544;12,2713966
545;12,32392343
546;12,44972538
547;12,53341873
548;12,59611409
549;12,71092589
550;12,76307132
551;12,87773644
552;12,95068853
553;13,05492048
554;13,1279154
555;13,16964603
556;13,28450575
557;13,34723533
558;13,46242492
559;13,525375
560;13,66211379
561;13,71484889
562;13,8417856
563;13,86299699
564;13,93737154
565;14,04400951
566;14,12967716
567;14,21568833
568;14,30206698
569;14,34540161
570;14,4869512
571;14,51977863
572;14,64069854
573;14,71812037
574;14,84057101
575;14,90778719
576;15,02051436
577;15,08858728
578;15,14557385
579;15,28333944
580;15,34117211
581;15,48104947
582;15,53979585
583;15,59882384
584;15,72970552
585;15,78967398
586;15,92269058
587;15,99589197
588;16,1189427
589;16,19341866
590;16,26839112
591;16,39447601
592;16,47082189
593;16,5992557
594;16,67704688
595;16,80794943
596;16,88725778
597;16,94045578
598;17,10164631
599;17,16952976
600;17,33422595
601;17,38969231
602;17,5578362
603;17,61447576
604;17,7
605;17,85858572
606;17,93145019
607;18,09350519
608;18,16797655
609;18,31846845
610;18,37925186
611;18,4864421
612;18,62581272
613;18,71971353
614;18,89395384
615;18,97406133
616;19,136008
617;19,2343
618;19,31686298
619;19,45021386
620;19,51747264
621;19,58512432
622;19,60209897
623;19,58512432
624;19,5681744
625;19,53434861
626;19,48379433
627;19,41673086
628;19,25076489
629;19,11970844
630;18,94194963
631;18,83027813
632;18,7511914
633;18,50184086
634;18,31846845
635;18,06385938
636;17,91683783
637;17,65715265
638;17,52962828
639;17,4036039
640;17,1423248
641;17,02074888
642;16,78164211
643;16,66404303
644;16,41986598
645;16,3060667
646;16,19341866
647;15,95923321
648;15,8620408
649;15,63437824
650;15,52802423
651;15,30644148
652;15,21427748
653;15,11135326
654;14,90778719
655;14,80707709
656;14,596625
657;14,50882917
658;14,30206698
659;14,20491732
660;14,10822898
661;13,9267334
662;13,82059063
663;13,66211379
664;13,61998554
665;13,57790723
666;13,525375
667;13,47291028
668;13,38909251
669;13,35769665
670;13,33677591
671;13,33677591
672;13,3158626
673;13,30540861
674;13,30540861
675;13,32631835
676;13,32631835
677;13,34723533
678;13,3786252
679;13,43098316
680;13,45194197
681;13,47291028
682;13,53587586
683;13,57790723
684;13,65157688
685;13,672654
686;13,7359674
687;13,78882813
688;13,8417856
689;13,9267334
690;13,96931329
691;14,04400951
692;14,08680189
693;14,19415202
694;14,25883022
695;14,30206698
696;14,3779686
697;14,44327784
698;14,55266954
699;14,596625
700;14,66278052
701;14,71812037
702;14,76253408
703;14,87414063
704;14,91902002
705;14,99789716
706;15,06585905
707;15,14557385
708;15,20280226
709;15,21427748
710;15,28333944
711;15,31800796
712;15,3992665
713;15,43425119
714;15,49277649
715;15,57517848
716;15,57517848
717;15,59882384
718;15,64625293
719;15,68194728
720;15,71774806
721;15,72970552
722;15,741675
723;15,75365654
724;15,76565018
725;15,77765598
726;15,77765598
727;15,77765598
728;15,76565018
729;15,77765598
730;15,76565018
731;15,75365654
732;15,741675
733;15,72970552
734;15,6700374
735;15,6700374
736;15,64625293
737;15,63437824
738;15,6225152
739;15,56337293
740;15,49277649
741;15,49277649
742;15,49277649
743;15,48104947
744;15,3992665
745;15,36437813
746;15,30644148
747;15,30644148
748;15,26027835
749;15,23725782
750;15,20280226
751;15,157
752;15,13415738
753;15,08858728
754;15,06585905
755;15,02051436
756;14,99789716
757;14,96403922
758;14,95277115
759;14,9302616
760;14,89656304
761;14,86294227
762;14,82939803
763;14,8182334
764;14,8182334
765;14,79592905
766;14,77365759
767;14,75141864
768;14,72921184
769;14,71812037
770;14,72921184
771;14,71812037
772;14,7070368
773;14,69596108
774;14,69596108
775;14,68489315
776;14,68489315
777;14,68489315
778;14,67383299
779;14,68489315
780;14,69596108
781;14,69596108
782;14,69596108
783;14,7070368
784;14,71812037
785;14,74031125
786;14,74031125
787;14,74031125
788;14,75141864
789;14,76253408
790;14,77365759
791;14,78478923
792;14,79592905
793;14,8182334
794;14,8182334
795;14,82939803
796;14,85175241
797;14,87414063
798;14,88534753
799;14,89656304
800;14,89656304
801;14,91902002
802;14,94151196
803;14,95277115
804;14,95277115
805;14,97531621
806;14,98660218
807;15,0092012
808;14,99789716
809;15,0092012
810;15,02051436
811;15,05450897
812;15,06585905
813;15,07721846
814;15,07721846
815;15,06585905
816;15,07721846
817;15,07721846
818;15,11135326
819;15,11135326
820;15,12275053
