t (s);u (mA)
26,07052382;20
26,11318902;20
26,15871504;20
26,20818953;20
26,26221991;20
26,32166766;20
26,38763411;20
26,46157407;20
26,54545394;20
26,64200919;20
26,75517694;20
26,89086037;20
27;20
27,04563874;20
27,09127749;20
27,14753676;20
27,20868622;20
27,27687137;20
27,35353072;20
27,44085222;20
27,54186766;20
27,66099896;20
27,80496537;20
28;20
28,03457092;20
28,06914185;20
28,11136917;20
28,15635686;20
28,20520716;20
28,25850178;20
28,31707151;20
28,38197465;20
28,45460458;20
28,53683732;20
28,63127057;20
28,74162257;20
28,87343145;20
29;20
29,04375979;20
29,08751959;20
29,14095433;20
29,19885532;20
29,26307378;20
29,334842;20
29,41599792;20
29,50904778;20
29,61757175;20
29,74687776;20
29,90521354;20
30;20
30,04021483;20
30,08042965;20
30,13142928;20
30,18625369;20
30,2467926;20
30,3140622;20
30,3896164;20
30,47553274;20
30,57472346;20
30,69140749;20
30,83196224;20
31;20
31,03796999;20
31,07593998;20
31,12239175;20
31,17218815;20
31,22669566;20
31,28670017;20
31,35334426;20
31,42812068;20
31,51305517;20
31,61097355;20
31,72595737;20
31,86415217;20
32;20
32,04187845;20
32,0837569;20
32,13520582;20
32,19074887;20
32,2521243;20
32,3204159;20
32,39723642;20
32,48475676;20
32,58603229;20
32,70551291;20
32,84996779;20
33;20
33,03563232;20
33,07126464;20
33,11504389;20
33,16176721;20
33,21265309;20
33,26834943;20
33,32979221;20
33,39818408;20
33,47512596;20
33,56280087;20
33,66427761;20
33,78402885;20
33,92886235;20
34;20
34,04342756;20
34,08685512;20
34,1411707;20
34,19993384;20
34,26522459;20
34,33830625;20
34,42111101;20
34,51627926;20
34,62760523;20
34,76075158;20
34,92458685;20
35;20
35,03600612;20
35,07201224;20
35,11791511;20
35,16687711;20
35,22042382;20
35,27927763;20
35,34452701;20
35,41758271;20
35,50035025;20
35,59547153;20
35,706735;20
35,8397955;20
36;20
36,04134508;20
36,08269015;20
36,13297578;20
36,18723028;20
36,24704783;20
36,31344734;20
36,38792451;20
36,47248093;20
36,56991034;20
36,68424204;20
36,82153394;20
37;20
37,0427928;20
37,08558561;20
37,13796294;20
37,19461172;20
37,25731735;20
37,32723243;20
37,40607259;20
37,49616146;20
37,60079218;20
37,72480115;20
37,87561927;20
38;20
38,03724337;20
38,07448673;20
38,12087762;20
38,17051134;20
38,2248383;20
38,28462534;20
38,35100567;20
38,42545615;20
38,50997948;20
38,60736598;20
38,72164051;20
38,85885332;20
39;20
39,03960153;20
39,07920307;20
39,12762635;20
39,1796934;20
39,23689919;20
39,30014142;20
39,37073468;20
39,45041719;20
39,54158189;20
39,64762387;20
39,77354775;20
39,92707436;20
40;20
40,03802641;20
40,07605282;20
40,12391202;20
40,17517102;20
40,23143562;20
40,29354275;20
40,36274807;20
40,4407005;20
40,5296595;20
40,63281163;20
40,75482084;20
40,90282163;20
41;20
41,04687387;20
41,09374775;20
41,15274987;20
41,21696858;20
41,28895374;20
41,37034225;20
41,46369839;20
41,57262479;20
41,70248141;20
41,861603;20
42;20
42,03685166;20
42,07370332;20
42,12008631;20
42,16965823;20
42,22391887;20
42,28362573;20
42,34990889;20
42,42423936;20
42,50861137;20
42,60580227;20
42,71981618;20
42,85666852;20
43;20
43,04187164;20
43,08374329;20
43,13505075;20
43,19044589;20
43,25164083;20
43,31971301;20
43,39626117;20
43,48343612;20
43,58426206;20
43,70313845;20
43,84674876;20
44;20
44,04231172;20
44,08462345;20
44,13696265;20
44,19349682;20
44,25607434;20
44,32583123;20
44,40447452;20
44,49431237;20
44,59861431;20
44,72217802;20
44,87236787;20
45;20
45,03937532;20
45,07875065;20
45,12786575;20
45,18061641;20
45,23865403;20
45,30289684;20
45,37471786;20
45,45593579;20
45,549066;20
45,6576958;20
45,78714649;20
45,94568869;20
46;20
46,04334438;20
46,08668877;20
46,1414561;20
46,20067455;20
46,26653062;20
46,3403065;20
46,42398494;20
46,52027915;20
46,63310004;20
46,76830483;20
46,93510459;20
47;20
47,03779371;20
47,07558741;20
47,12415361;20
47,17610888;20
47,23321905;20
47,29634066;20
47,36678706;20
47,44628606;20
47,53721639;20
47,64295058;20
47,76845631;20
47,92139061;20
48;20
48,04344507;20
48,08689014;20
48,1418551;20
48,20129499;20
48,26742236;20
48,34153239;20
48,42563179;20
48,5224694;20
48,63601314;20
48,77221562;20
48,9404564;20
49;20
49,03593096;20
49,07186193;20
49,11748985;20
49,16615855;20
49,21935591;20
49,27779382;20
49,3425399;20
49,41497626;20
49,49696616;20
49,59108725;20
49,70102623;20
49,83226874;20
50;20
50,04920693;20
50,09841385;20
50,15866052;20
50,22459527;20
50,29866314;20
50,38267309;20
50,47940276;20
50,59280103;20
50,72880312;20
50,89675408;20
51;20
51,04497343;20
51,08994686;20
51,14809706;20
51,21109801;20
51,28161652;20
51,36116651;20
51,45216972;20
51,55799784;20
51,68363162;20
51,83674709;20
52;20
52,03754064;20
52,07508127;20
52,12184492;20
52,17190454;20
52,22673643;20
52,28712714;20
52,35424077;20
52,4295978;20
52,51526565;20
52,61413395;20
52,73038669;20
52,87034199;20
53;20
53,04711814;20
53,09423629;20
53,15268272;20
53,21636548;20
53,28766936;20
53,36820938;20
53,46047703;20
53,5679683;20
53,69586524;20
53,85219337;20
54;20
54,03862048;20
54,07724096;20
54,12571197;20
54,17768759;20
54,23480432;20
54,2979364;20
54,36839521;20
54,44790976;20
54,53885996;20
54,64462022;20
54,77016137;20
54,92314581;20
55;20
55,0474891;20
55,0949782;20
55,15537942;20
55,22116441;20
55,29510338;20
55,37894066;20
55,47544955;20
55,58855359;20
55,72414964;20
55,891514;20
56;20
56,03997535;20
56,0799507;20
56,13124306;20
56,18633371;20
56,24720351;20
56,3148737;20
56,39092443;20
56,47746898;20
56,5774753;20
56,69525179;20
56,8373274;20
57;20
57,04870867;20
57,09741733;20
57,1579683;20
57,22413058;20
57,29850357;20
57,38289341;20
57,48011486;20
57,59416769;20
57,73107433;20
57,90033359;20
58;20
58,04651408;20
58,09302817;20
58,15342799;20
58,21903536;20
58,29278396;20
58,37637636;20
58,47257031;20
58,58525538;20
58,72027358;20
58,88680392;20
59;20
59,04073083;20
59,08146167;20
59,1336805;20
59,18984441;20
59,2520086;20
59,32125548;20
59,39926454;20
59,48829463;20
59,59153987;20
59,71367477;20
59,86185232;20
60;20
60,05227899;20
60,10455799;20
60,17056507;20
60,24310911;20
60,32549758;20
60,42007706;20
60,53063523;20
60,66272363;20
60,82504082;20
61;20
61,04000614;20
61,08001227;20
61,1306178;20
61,18500324;20
61,24501201;20
61,31163834;20
61,38639665;20
61,47130758;20
61,5691956;20
61,68413889;20
61,82227755;20
62;20
62,04909159;20
62,09818317;20
62,15882072;20
62,22514314;20
62,29970508;20
62,38433477;20
62,481866;20
62,59633173;20
62,73380957;20
62,90389616;20
63;20
63,04285181;20
63,08570362;20
63,1411853;20
63,20106306;20
63,26775046;20
63,34254716;20
63,42751349;20
63,52547175;20
63,64050911;20
63,77877801;20
63,95001197;20
64;20
64,04822514;20
64,09645027;20
64,15702006;20
64,22311408;20
64,29741787;20
64,38171771;20
64,4788234;20
64,5927219;20
64,72941521;20
64,89836571;20
65;20
65,0451597;20
65,09031939;20
65,14882148;20
65,21221972;20
65,28323064;20
65,36339446;20
65,4551826;20
65,56204227;20
65,68907885;20
65,84418393;20
66;19,57784782
66,01832786;20
66,01832786;20
66,06148333;20
66,11318109;20
66,16917911;20
66,23107871;20
66,30001292;20
66,37763123;20
66,46616474;20
66,56876128;20
66,69002074;20
66,83696821;20
67;19,07746479
67,04568363;19,8059448
67,06280381;20
67,06280381;20
67,10848745;20
67,16744644;20
67,23141045;20
67,30311501;20
67,38414635;20
67,47704554;20
67,58536867;20
67,71440087;20
67,87234594;20
68;17,45761131
68,04283267;18,33253546
68,08566534;18,88983665
68,13994254;19,30863572
68,19856968;19,54475513
68,263709;19,66083976
68,3366021;19,69524498
68,41917032;19,675203
68,51403405;19,61807784
68,62495639;19,5332045
68,75754811;19,42318729
68,92058659;19,28442249
69;17,77504893
69,04855825;18,23685443
69,09711649;18,50475751
69,15989113;18,68141833
69,22834287;18,75309315
69,30562959;18,75769675
69,39369;18,71711733
69,49568058;18,64464538
69,6161206;18,54621619
69,76191951;18,42136999
69,94415618;18,26321039
70;16,48264309
70,04738;17,0348349
70,09476;17,36279748
70,15518235;17,58604893
70,2209696;17,68852918
70,29491525;17,71327104
70,37876023;17,68575364
70,47527919;17,62226014
70,58839661;17,5311733
70,72401113;17,41419324
